"","X1.x","PL","NAME","YEAR","Team","Avg. Mile","TIME","SCORE","1.1k","3k","X1.y","Region","allAmerican"
"1",1,1,"Regan, Amy","SR","Stevens Institute",05:26:00,20:16:00,1,"3:14.5 (3:14.5)","9:56.0 (6:41.5)",46,"Atlantic","All American"
"2",2,2,"Miller, Audrey","SO","Loras",05:30:00,20:31:00,NA,"3:26.8 (3:26.8)","10:16.9 (6:50.2)",3,"Central","All American"
"3",3,3,"Weigel, Maya","SR","Pomona-Pitzer",05:32:00,20:41:00,NA,"3:18.2 (3:18.2)","10:07.1 (6:48.9)",119,"West","All American"
"4",4,4,"Herrmann, Erin","SR","Hope",05:35:00,20:51:00,2,"3:18.8 (3:18.8)","10:13.6 (6:54.8)",228,"Great Lakes","All American"
"5",5,5,"Fowler, Sarah","SR","Ohio Wesleyan",05:35:00,20:51:00,NA,"3:20.9 (3:20.9)","10:17.0 (6:56.2)",243,"Great Lakes","All American"
"6",6,6,"Gale-Butto, Serena","SR","Centre",05:35:00,20:51:00,NA,"3:28.2 (3:28.2)","10:22.4 (6:54.2)",261,"South","All American"
"7",7,7,"Masterson, Abrah","SR","Cornell College",05:35:00,20:52:00,NA,"3:21.7 (3:21.7)","10:17.2 (6:55.5)",14,"Central","All American"
"8",8,8,"Wayne, Aly","JR","Washington U.",05:36:00,20:52:00,3,"3:25.0 (3:25.0)","10:24.3 (6:59.3)",190,"Midwest","All American"
"9",9,9,"McKillop, Bryn","JR","Claremont-Mudd-Scripps",05:36:00,20:53:00,4,"3:23.7 (3:23.7)","10:19.5 (6:55.9)",118,"West","All American"
"10",10,10,"Kurtenbach, Khia","SO","U. of Chicago",05:36:00,20:54:00,5,"3:23.3 (3:23.3)","10:17.7 (6:54.4)",191,"Midwest","All American"
"11",11,11,"Cordani, Taryn","SO","Ithaca",05:36:00,20:54:00,6,"3:18.7 (3:18.7)","10:13.5 (6:54.8)",33,"Atlantic","All American"
"12",12,12,"Leland, Kayla","SO","Whitworth",05:37:00,20:57:00,7,"3:25.3 (3:25.3)","10:19.1 (6:53.8)",129,"West","All American"
"13",13,13,"Mancl, Olivia","SR","Willamette",05:37:00,20:59:00,NA,"3:20.0 (3:20.0)","10:16.4 (6:56.5)",133,"West","All American"
"14",14,14,"Lindsay , Alison","JR","Washington U.",05:38:00,21:01:00,8,"3:29.0 (3:29.0)","10:31.5 (7:02.6)",190,"Midwest","All American"
"15",15,15,"Nadler, Abigail","SO","Middlebury",05:38:00,21:02:00,9,"3:22.0 (3:22.0)","10:17.0 (6:55.0)",140,"New England","All American"
"16",16,16,"Bagge, Ashlyn","JR","Wartburg",05:38:00,21:03:00,NA,"3:24.0 (3:24.0)","10:19.8 (6:55.8)",2,"Central","All American"
"17",17,17,"McCandless, Megan","FR","MIT",05:39:00,21:04:00,10,"3:26.5 (3:26.5)","10:18.2 (6:51.7)",137,"New England","All American"
"18",18,18,"Bowman, Brittany","JR","Tufts",05:39:00,21:05:00,11,"3:22.8 (3:22.8)","10:17.3 (6:54.6)",138,"New England","All American"
"19",19,19,"Lord, Jaime","JR","RPI",05:39:00,21:05:00,12,"3:22.4 (3:22.4)","10:18.4 (6:56.0)",32,"Atlantic","All American"
"20",20,20,"Visca, Mary","SO","Stevens Institute",05:39:00,21:07:00,13,"3:30.5 (3:30.5)","10:20.3 (6:49.8)",46,"Atlantic","All American"
"21",21,21,"Frick, Elizabeth","SR","Wis.-La Crosse",05:40:00,21:09:00,14,"3:31.2 (3:31.2)","10:22.0 (6:50.8)",192,"Midwest","All American"
"22",22,22,"Wessler, Leah","SR","Colorado College",05:40:00,21:09:00,15,"3:29.5 (3:29.5)","10:31.3 (7:01.9)",125,"West","All American"
"23",23,23,"Shine, Rachael","SR","Oneonta",05:40:00,21:09:00,16,"3:23.0 (3:23.0)","10:24.9 (7:01.9)",56,"Atlantic","All American"
"24",24,24,"Bryson, Emily","SR","Brandeis",05:40:00,21:10:00,NA,"3:24.6 (3:24.6)","10:22.5 (6:57.9)",150,"New England","All American"
"25",25,25,"Meehan, Tess","SR","Johns Hopkins",05:40:00,21:10:00,17,"3:25.6 (3:25.6)","10:20.3 (6:54.8)",69,"Mideast","All American"
"26",26,26,"Sandfort, Katie","SR","Colorado College",05:41:00,21:13:00,18,"3:27.5 (3:27.5)","10:23.7 (6:56.3)",125,"West","All American"
"27",27,27,"Treanor, Katherine","FR","Amherst",05:41:00,21:13:00,NA,"3:32.8 (3:32.8)","10:24.8 (6:52.1)",143,"New England","All American"
"28",28,28,"Rosenzweig, Sara","SR","SUNY Geneseo",05:41:00,21:14:00,19,"3:22.8 (3:22.8)","10:21.4 (6:58.7)",31,"Atlantic","All American"
"29",29,29,"Koerner, Felicia","SO","Johns Hopkins",05:41:00,21:14:00,20,"3:18.3 (3:18.3)","10:15.9 (6:57.6)",69,"Mideast","All American"
"30",30,30,"Shaw, Jessica","SR","Albion",05:41:00,21:15:00,NA,"3:27.4 (3:27.4)","10:26.6 (6:59.2)",252,"Great Lakes","All American"
"31",31,31,"LaSpada, Natalia","SO","Johns Hopkins",05:42:00,21:15:00,21,"3:25.6 (3:25.6)","10:20.5 (6:55.0)",69,"Mideast","All American"
"32",32,32,"Litoff, Ashley","JR","Rhodes",05:42:00,21:15:00,22,"3:28.3 (3:28.3)","10:22.0 (6:53.7)",266,"South","All American"
"33",33,33,"Hovland, Casey","JR","St. Scholastica",05:42:00,21:15:00,NA,"3:31.4 (3:31.4)","10:27.7 (6:56.3)",13,"Central","All American"
"34",34,34,"Jones, Emma","SR","RIT",05:42:00,21:15:00,NA,"3:24.1 (3:24.1)","10:24.1 (7:00.0)",36,"Atlantic","All American"
"35",35,35,"Brockett, Meg","SR","Moravian",05:42:00,21:16:00,NA,"3:37.6 (3:37.6)","10:36.9 (6:59.4)",79,"Mideast","All American"
"36",36,36,"Peterson, Anne","SR","Rochester",05:42:00,21:16:00,NA,"3:22.3 (3:22.3)","10:21.5 (6:59.2)",34,"Atlantic","All American"
"37",37,37,"Lamb, Claire","SO","Otterbein",05:42:00,21:17:00,NA,"3:21.9 (3:21.9)","10:24.7 (7:02.9)",232,"Great Lakes","All American"
"38",38,38,"Canning, Sofia","JR","Dickinson",05:42:00,21:18:00,23,"3:31.1 (3:31.1)","10:31.2 (7:00.2)",70,"Mideast","All American"
"39",39,39,"Cossaro, Marissa","SR","SUNY Geneseo",05:43:00,21:18:00,24,"3:22.9 (3:22.9)","10:21.5 (6:58.6)",31,"Atlantic","All American"
"40",40,40,"Schane , Jackie","SO","Aurora",05:43:00,21:20:00,NA,"3:24.3 (3:24.3)","10:24.6 (7:00.4)",219,"Midwest","All American"
"41",41,41,"Wheeler, Veronica","JR","DeSales",05:43:00,21:21:00,25,"3:25.8 (3:25.8)","10:28.6 (7:02.8)",98,"Mideast","Participant"
"42",42,42,"Kellogg, Megan","JR","St. Lawrence",05:43:00,21:22:00,26,"3:26.1 (3:26.1)","10:25.7 (6:59.7)",37,"Atlantic","Participant"
"43",43,43,"Artz, Erin","SR","St. Norbert",05:44:00,21:25:00,NA,"3:23.7 (3:23.7)","10:24.4 (7:00.7)",205,"Midwest","Participant"
"44",44,44,"Bango, Carmen","FR","Williams",05:45:00,21:27:00,27,"3:32.1 (3:32.1)","10:38.6 (7:06.6)",136,"New England","Participant"
"45",45,45,"Moore, Cheyenne","JR","Wis.-Oshkosh",05:45:00,21:27:00,28,"3:30.8 (3:30.8)","10:36.0 (7:05.3)",196,"Midwest","Participant"
"46",46,46,"Ortiz, Fabiola","SR","Dubuque",05:45:00,21:28:00,NA,"3:24.5 (3:24.5)","10:26.3 (7:01.8)",25,"Central","Participant"
"47",47,47,"Cooper, Natalie","SR","TCNJ",05:45:00,21:29:00,NA,"3:23.5 (3:23.5)","10:19.3 (6:55.9)",43,"Atlantic","Participant"
"48",48,48,"Ibarra, Denise","JR","Ithaca",05:47:00,21:34:00,29,"3:23.3 (3:23.3)","10:24.3 (7:01.1)",33,"Atlantic","Participant"
"49",49,49,"Meyer, Kimber","SR","Macalester",05:47:00,21:36:00,NA,"3:30.4 (3:30.4)","10:25.2 (6:54.9)",11,"Central","Participant"
"50",50,50,"Monnett, Claudia","SR","DePauw",05:47:00,21:37:00,NA,"3:24.7 (3:24.7)","10:23.0 (6:58.3)",234,"Great Lakes","Participant"
"51",51,51,"Guillaume, Sarah Jane","SR","Allegheny",05:48:00,21:37:00,30,"3:28.5 (3:28.5)","10:33.3 (7:04.8)",229,"Great Lakes","Participant"
"52",52,52,"Sullivan, Katie","JR","Haverford",05:48:00,21:38:00,31,"3:27.7 (3:27.7)","10:29.7 (7:02.0)",72,"Mideast","Participant"
"53",53,53,"Halsten, Linnea","SO","Oberlin",05:48:00,21:38:00,NA,"3:36.0 (3:36.0)","10:45.8 (7:09.9)",227,"Great Lakes","Participant"
"54",54,54,"Kelley, Sarah","JR","Bowdoin",05:48:00,21:39:00,NA,"3:31.6 (3:31.6)","10:39.4 (7:07.8)",144,"New England","Participant"
"55",55,55,"Latimer, Emily","JR","Waynesburg",05:48:00,21:40:00,NA,"3:30.4 (3:30.4)","10:43.8 (7:13.4)",81,"Mideast","Participant"
"56",56,56,"Diekema, Katie","SO","Calvin",05:48:00,21:40:00,32,"3:31.2 (3:31.2)","10:39.7 (7:08.5)",230,"Great Lakes","Participant"
"57",57,57,"Clawson, Ellie","SO","Johns Hopkins",05:49:00,21:41:00,33,"3:25.6 (3:25.6)","10:31.9 (7:06.3)",69,"Mideast","Participant"
"58",58,58,"Diemer, McKenzie","SR","Calvin",05:49:00,21:41:00,34,"3:53.6 (3:53.6)","10:39.3 (6:45.8)",230,"Great Lakes","Participant"
"59",59,59,"Stravach, Gabrielle","SR","Emory",05:49:00,21:41:00,35,"3:29.9 (3:29.9)","10:36.6 (7:06.8)",260,"South","Participant"
"60",60,60,"Latimer, Katie","SR","Waynesburg",05:49:00,21:41:00,NA,"3:30.5 (3:30.5)","10:42.5 (7:12.0)",81,"Mideast","Participant"
