"","Region","Team"
"1","Central","Carleton"
"2","Central","Wartburg"
"3","Central","Loras"
"4","Central","St. Thomas (Minn.)"
"5","Central","St. Olaf"
"6","Central","Gustavus Adolphus"
"7","Central","Luther"
"8","Central","Nebraska Wesleyan"
"9","Central","Grinnell"
"10","Central","Concordia-Moorhead"
"11","Central","Macalester"
"12","Central","Buena Vista"
"13","Central","St. Scholastica"
"14","Central","Cornell College"
"15","Central","St. Benedict"
"16","Central","Bethel (Minn.)"
"17","Central","Hamline"
"18","Central","St. Catherine (Minn.)"
"19","Central","Coe"
"20","Central","Minnesota-Morris"
"21","Central","Central College"
"22","Central","Simpson (Iowa)"
"23","Central","Crown"
"24","Central","Wis.-Superior"
"25","Central","Dubuque"
"26","Central","Saint Mary's (Minn.)"
"27","Central","Martin Luther"
"28","Central","Northland"
"29","Central","Augsburg"
"30","Central","Northwestern (Minn.)"
"31","Atlantic","SUNY Geneseo"
"32","Atlantic","RPI"
"33","Atlantic","Ithaca"
"34","Atlantic","Rochester"
"35","Atlantic","Vassar"
"36","Atlantic","RIT"
"37","Atlantic","St. Lawrence"
"38","Atlantic","Hamilton"
"39","Atlantic","New Paltz St."
"40","Atlantic","NYU"
"41","Atlantic","Clarkson"
"42","Atlantic","Ramapo"
"43","Atlantic","TCNJ"
"44","Atlantic","Rowan"
"45","Atlantic","Cortland St."
"46","Atlantic","Stevens Institute"
"47","Atlantic","Houghton"
"48","Atlantic","Brockport St."
"49","Atlantic","Stockton"
"50","Atlantic","St. John Fisher"
"51","Atlantic","William Smith"
"52","Atlantic","Nazareth"
"53","Atlantic","USMMA"
"54","Atlantic","Utica"
"55","Atlantic","Buffalo State"
"56","Atlantic","Oneonta"
"57","Atlantic","St. Joseph's (L.I.)"
"58","Atlantic","Oswego State"
"59","Atlantic","Sage"
"60","Atlantic","SUNY Cobleskill"
"61","Atlantic","Union (N.Y.)"
"62","Atlantic","Potsdam St."
"63","Atlantic","Bard"
"64","Atlantic","Lehman"
"65","Atlantic","Hartwick"
"66","Atlantic","Keuka"
"67","Atlantic","Elmira College"
"68","Atlantic","Baruch"
"69","Mideast","Johns Hopkins"
"70","Mideast","Dickinson"
"71","Mideast","Carnegie Mellon"
"72","Mideast","Haverford"
"73","Mideast","Swarthmore"
"74","Mideast","Elizabethtown"
"75","Mideast","Misericordia"
"76","Mideast","Messiah"
"77","Mideast","Stevenson"
"78","Mideast","York (Pa.)"
"79","Mideast","Moravian"
"80","Mideast","Lebanon Valley"
"81","Mideast","Waynesburg"
"82","Mideast","Eastern"
"83","Mideast","Salisbury"
"84","Mideast","Susquehanna"
"85","Mideast","Scranton"
"86","Mideast","Franklin & Marshall"
"87","Mideast","Grove City"
"88","Mideast","Geneva"
"89","Mideast","St. Vincent (Pa.)"
"90","Mideast","Juniata"
"91","Mideast","PSU-Behrend"
"92","Mideast","Westminster (Pa.)"
"93","Mideast","Marywood"
"94","Mideast","Gettysburg"
"95","Mideast","Franciscan (Ohio)"
"96","Mideast","Widener"
"97","Mideast","Bryn Mawr"
"98","Mideast","DeSales"
"99","Mideast","Chatham"
"100","Mideast","Ursinus"
"101","Mideast","Wilkes"
"102","Mideast","Hood"
"103","Mideast","Clarks Summit"
"104","Mideast","Arcadia"
"105","Mideast","Alvernia"
"106","Mideast","St. Mary's (Md.)"
"107","Mideast","Thiel"
"108","Mideast","Lancaster Bible"
"109","Mideast","Lycoming"
"110","Mideast","Bethany (W.V.)"
"111","Mideast","Gwynedd-Mercy"
"112","Mideast","Marymount (Va.)"
"113","Mideast","Alfred State"
"114","Mideast","Cedar Crest"
"115","Mideast","Keystone"
"116","Mideast","Rosemont"
"117","Mideast","Penn College"
"118","West","Claremont-Mudd-Scripps"
"119","West","Pomona-Pitzer"
"120","West","Occidental"
"121","West","Redlands"
"122","West","Whitman"
"123","West","UC Santa Cruz"
"124","West","Caltech"
"125","West","Colorado College"
"126","West","Lewis & Clark"
"127","West","Pacific Lutheran"
"128","West","Pacific (Ore.)"
"129","West","Whitworth"
"130","West","Chapman"
"131","West","George Fox"
"132","West","Cal Lutheran"
"133","West","Willamette"
"134","West","Whittier"
"135","West","Mills"
"136","New England","Williams"
"137","New England","MIT"
"138","New England","Tufts"
"139","New England","Bates"
"140","New England","Middlebury"
"141","New England","Wesleyan"
"142","New England","Mount Holyoke"
"143","New England","Amherst"
"144","New England","Bowdoin"
"145","New England","WPI"
"146","New England","Colby"
"147","New England","Wellesley"
"148","New England","Coast Guard"
"149","New England","Trinity (Conn.)"
"150","New England","Brandeis"
"151","New England","Smith"
"152","New England","Connecticut College"
"153","New England","Westfield State"
"154","New England","Worcester State"
"155","New England","Wheaton (Mass.)"
"156","New England","Bridgewater St."
"157","New England","U. of New England"
"158","New England","Roger Williams"
"159","New England","Colby-Sawyer"
"160","New England","Babson"
"161","New England","Springfield"
"162","New England","Salve Regina"
"163","New England","Suffolk"
"164","New England","Eastern Conn. St."
"165","New England","Plymouth State"
"166","New England","Castleton University"
"167","New England","Endicott"
"168","New England","UMass Dartmouth"
"169","New England","St. Joseph's (Me.)"
"170","New England","Gordon"
"171","New England","Regis (Mass.)"
"172","New England","Emmanuel (Mass.)"
"173","New England","Simmons"
"174","New England","Fitchburg St."
"175","New England","Maine-Farmington"
"176","New England","Framingham St."
"177","New England","Husson"
"178","New England","Emerson"
"179","New England","Clark (Mass.)"
"180","New England","Norwich"
"181","New England","Southern Maine"
"182","New England","Western NE"
"183","New England","Elms"
"184","New England","Maine-Presque Isle"
"185","New England","Mass. Liberal Arts"
"186","New England","Maine Maritime"
"187","New England","Johnson & Wales (R.I.)"
"188","New England","Western Conn. St. Univ."
"189","New England","Nichols"
"190","Midwest","Washington U."
"191","Midwest","U. of Chicago"
"192","Midwest","Wis.-La Crosse"
"193","Midwest","Wis.-Eau Claire"
